Rank,Name,Year,Revenues,Revenue Percent Change,Profits,Profits Percent Change,Assets,Employees,Change in Rank,Newcomer,Sector,Country,City,lat,lng
6,Saudi Aramco,2020,"$329,784.00 ",-7.30%,"$88,210.90 ",-20.50%,"$398,348.60 ","79,000",-,no,Energy,Saudi Arabia,Dhahran,26.2667,50.15
6,Saudi Aramco,2019,"$355,905.00 ",35%,"$110,974.50 ",46.90%,"$358,872.90 ","76,418",-,yes,Energy,Saudi Arabia,Dhahran,26.2667,50.15
31,Trafigura Group,2021,"$146,994.30 ",-14%,"$1,699.20 ",94.90%,"$56,985.60 ","8,619",-4,no,Wholesalers,Singapore,Singapore,1.3,103.8
27,Trafigura Group,2020,"$171,474.00 ",-5.10%,$871.70 ,2.60%,"$54,151.40 ","5,106",-5,no,Wholesalers,Singapore,Singapore,1.3,103.8
22,Trafigura Group,2019,"$180,744.10 ",33%,$849.20 ,0.20%,"$53,801.00 ","4,316",10,no,Wholesalers,Singapore,Singapore,1.3,103.8
32,Trafigura Group,2018,"$136,421.00 ",39.10%,$847.70 ,12.90%,"$48,607.60 ","3,935",22,no,Wholesalers,Singapore,Singapore,1.3,103.8
54,Trafigura Group,2017,"$98,098.00 ",0.90%,$750.80 ,-39.30%,"$41,230.00 ","4,107",5,no,Wholesalers,Singapore,Singapore,1.3,103.8
83,Hyundai Motor,2021,"$88,155.70 ",-3%,"$1,207.50 ",-52.80%,"$192,604.90 ","122,814",1,no,Motor Vehicles & Parts,South Korea,Seoul,37.56,126.99
84,Hyundai Motor,2020,"$90,740.00 ",3.10%,"$2,557.10 ",86.50%,"$168,219.50 ","114,032",10,no,Motor Vehicles & Parts,South Korea,Seoul,37.56,126.99
97,SK Holdings,2020,"$86,163.00 ",-10.20%,$615.50 ,-69.90%,"$114,175.10 ","108,911",-24,no,Energy,South Korea,Seoul,37.56,126.99
73,SK Holdings,2019,"$95,904.50 ",15%,"$2,048.00 ",38%,"$107,069.10 ","104,374",11,no,Energy,South Korea,Seoul,37.56,126.99
94,Hyundai Motor,2019,"$87,999.20 ",3%,"$1,370.80 ",-61.60%,"$161,921.40 ","122,217",-16,no,Motor Vehicles & Parts,South Korea,Seoul,37.56,126.99
78,Hyundai Motor,2018,"$85,259.00 ",5.60%,"$3,567.60 ",-23.40%,"$166,479.30 ","122,217",-,no,Motor Vehicles & Parts,South Korea,Seoul,37.56,126.99
84,SK Holdings,2018,"$83,544.00 ",15.10%,"$1,483.90 ",124.90%,"$102,556.90 ","93,000",11,no,Energy,South Korea,Seoul,37.56,126.99
78,Hyundai Motor,2017,"$80,701.00 ",-0.80%,"$4,659.00 ",-17.90%,"$148,092.00 ","129,315",6,no,Motor Vehicles & Parts,South Korea,Seoul,37.56,126.99
95,SK Holdings,2017,"$72,579.00 ",107.40%,$659.70 ,-86%,"$85,332.00 ","84,000",199,no,Energy,South Korea,Seoul,37.56,126.99
15,Samsung Electronics,2021,"$200,734.40 ",2%,"$22,116.40 ",19.90%,"$347,991.80 ","267,937",4,no,Technology,South Korea,Suwon,37.2858,127.01
19,Samsung Electronics,2020,"$197,705.00 ",-10.80%,"$18,453.30 ",-53.70%,"$304,907.50 ","287,439",-4,no,Technology,South Korea,Suwon,37.2858,127.01
15,Samsung Electronics,2019,"$221,579.40 ",5%,"$39,895.20 ",9.10%,"$304,165.30 ","309,630",-3,no,Technology,South Korea,Suwon,37.2858,127.01
12,Samsung Electronics,2018,"$211,940.00 ",21.80%,"$36,575.40 ",89.30%,"$281,905.90 ","320,671",3,no,Technology,South Korea,Suwon,37.2858,127.01
15,Samsung Electronics,2017,"$173,957.00 ",-2%,"$19,316.50 ",16.80%,"$217,104.00 ","325,000",-2,no,Technology,South Korea,Suwon,37.2858,127.01
93,Banco Santander,2020,"$88,257.00 ",-2.50%,"$7,292.00 ",-20.90%,"$1,709,072.90 ","189,769",-8,no,Financials,Spain,Madrid,40.4168,3.7038
85,Banco Santander,2019,"$90,531.90 ",4%,"$9,217.10 ",23.50%,"$1,667,946.80 ","194,015",-8,no,Financials,Spain,Madrid,40.4168,3.7038
77,Banco Santander,2018,"$87,401.00 ",5.60%,"$7,461.00 ",8.80%,"$1,734,275.90 ","198,960",-4,no,Financials,Spain,Madrid,40.4168,3.7038
73,Banco Santander,2017,"$82,801.00 ",-2.50%,"$6,860.70 ",3.70%,"$1,412,281.00 ","185,606",2,no,Financials,Spain,Madrid,40.4168,3.7038
34,Glencore,2021,"$142,338.00 ",-34%,"($1,903.00)",-,"$118,000.00 ","87,822",-17,no,Energy,Switzerland,Baar,47.1956,8.5264
17,Glencore,2020,"$215,111.00 ",-2.10%,($404.00),-111.90%,"$124,076.00 ","88,246",-1,no,Energy,Switzerland,Baar,47.1956,8.5264
16,Glencore,2019,"$219,754.00 ",7%,"$3,408.00 ",-41%,"$128,672.00 ","85,504",-2,no,Energy,Switzerland,Baar,47.1956,8.5264
14,Glencore,2018,"$205,476.00 ",18.20%,"$5,777.00 ",318.90%,"$135,593.00 ","82,681",2,no,Energy,Switzerland,Baar,47.1956,8.5264
16,Glencore,2017,"$173,883.00 ",2%,"$1,379.00 ",-,"$124,600.00 ","93,123",-2,no,Energy,Switzerland,Baar,47.1956,8.5264
79,Nestlé,2021,"$89,852.90 ",-4%,"$13,031.10 ",2.70%,"$140,366.70 ","273,000",3,no,"Food, Beverages & Tobacco",Switzerland,Vevey,46.4667,6.85
82,Nestlé,2020,"$92,107.00 ",-1.50%,"$12,546.20 ",21%,"$123,858.70 ","291,000",-6,no,"Food, Beverages & Tobacco",Switzerland,Vevey,46.4667,6.85
76,Nestlé,2019,"$93,512.50 ",3%,"$10,364.80 ",42%,"$139,045.10 ","308,000",-7,no,"Food, Beverages & Tobacco",Switzerland,Vevey,46.4667,6.85
69,Nestlé,2018,"$91,222.00 ",0.40%,"$7,297.40 ",-15.70%,"$133,819.20 ","323,000",-5,no,"Food, Beverages & Tobacco",Switzerland,Vevey,46.4667,6.85
64,Nestlé,2017,"$90,814.00 ",-1.60%,"$8,659.20 ",-8.10%,"$129,824.00 ","328,000",2,no,"Food, Beverages & Tobacco",Switzerland,Vevey,46.4667,6.85
22,Hon Hai Precision Industry,2021,"$181,945.40 ",5%,"$3,456.70 ",-7.30%,"$130,845.60 ","878,429",4,no,Technology,Taiwan,New Taipei City,25.0478,121.5319
26,Hon Hai Precision Industry,2020,"$172,869.00 ",-1.60%,"$3,730.90 ",-12.90%,"$110,790.40 ","757,404",-3,no,Technology,Taiwan,New Taipei City,25.0478,121.5319
23,Hon Hai Precision Industry,2019,"$175,617.00 ",14%,"$4,281.60 ",-6.10%,"$110,012.90 ","667,680",1,no,Technology,Taiwan,New Taipei City,25.0478,121.5319
24,Hon Hai Precision Industry,2018,"$154,699.00 ",14.50%,"$4,559.90 ",-1.10%,"$114,528.30 ","803,126",3,no,Technology,Taiwan,New Taipei City,25.0478,121.5319
27,Hon Hai Precision Industry,2017,"$135,129.00 ",-4.30%,"$4,608.80 ",-0.40%,"$80,436.00 ","726,772",-2,no,Technology,Taiwan,New Taipei City,25.0478,121.5319
41,Home Depot,2021,"$132,110.00 ",20%,"$12,866.00 ",14.40%,"$70,581.00 ","504,800",18,no,Retailing,U.S.,Atlanta,33.7627,-84.4224
89,United Parcel Service,2021,"$84,628.00 ",14%,"$1,343.00 ",-69.80%,"$62,408.00 ","408,255",40,no,Transportation,U.S.,Atlanta,33.7627,-84.4224
59,Home Depot,2020,"$110,225.00 ",1.90%,"$11,242.00 ",1.10%,"$51,236.00 ","415,700",3,no,Retailing,U.S.,Atlanta,33.7627,-84.4224
62,Home Depot,2019,"$108,203.00 ",7%,"$11,121.00 ",28.90%,"$44,003.00 ","413,000",-5,no,Retailing,U.S.,Atlanta,33.7627,-84.4224
57,Home Depot,2018,"$100,904.00 ",6.70%,"$8,630.00 ",8.50%,"$44,529.00 ","413,000",2,no,Retailing,U.S.,Atlanta,33.7627,-84.4224
59,Home Depot,2017,"$94,595.00 ",6.90%,"$7,957.00 ",13.50%,"$42,966.00 ","406,000",10,no,Retailing,U.S.,Atlanta,33.7627,-84.4224
1,Walmart,2021,"$559,151.00 ",7%,"$13,510.00 ",-9.20%,"$252,496.00 ","2,300,000",-,no,Retailing,U.S.,Bentonville,36.3546,-94.2306
1,Walmart,2020,"$523,964.00 ",1.90%,"$14,881.00 ",123.10%,"$236,495.00 ","2,200,000",-,no,Retailing,U.S.,Bentonville,36.3546,-94.2306
1,Walmart,2019,"$514,405.00 ",3%,"$6,670.00 ",-32.40%,"$219,295.00 ","2,200,000",-,no,Retailing,U.S.,Bentonville,36.3546,-94.2306
1,Walmart,2018,"$500,343.00 ",3%,"$9,862.00 ",-27.70%,"$204,522.00 ","2,300,000",-,no,Retailing,U.S.,Bentonville,36.3546,-94.2306
1,Walmart,2017,"$485,873.00 ",0.80%,"$13,643.00 ",-7.20%,"$198,825.00 ","2,300,000",-,no,Retailing,U.S.,Bentonville,36.3546,-94.2306
28,Cigna,2021,"$160,401.00 ",5%,"$8,458.00 ",65.70%,"$155,451.00 ","72,963",4,no,Health Care,U.S.,Bloomfield Hills,40.8098,-74.1868
32,Cigna,2020,"$153,566.00 ",215.70%,"$5,104.00 ",93.60%,"$155,774.00 ","73,700",197,no,Health Care,U.S.,Bloomfield Hills,40.8098,-74.1868
95,State Farm Insurance Cos.,2018,"$78,331.00 ",2.90%,"$2,206.50 ",529.90%,"$272,345.20 ","65,664",-10,no,Financials,U.S.,Bloomington,40.4757,-88.9703
85,State Farm Insurance Cos.,2017,"$76,132.00 ",0.60%,$350.30 ,-94.40%,"$256,030.00 ","68,234",8,no,Financials,U.S.,Bloomington,40.4757,-88.9703
48,General Electric,2019,"$120,268.00 ",-2%,"($22,355.00)",-,"$309,129.00 ","283,000",-7,no,Industrials,U.S.,Boston,42.6528,-78.7555
41,General Electric,2018,"$122,274.00 ",3.50%,"($5,786.00)",-165.50%,"$377,945.00 ","313,000",-10,no,Industrials,U.S.,Boston,42.6528,-78.7555
31,General Electric,2017,"$126,661.00 ",-9.80%,"$8,831.00 ",-,"$365,183.00 ","295,000",-5,no,Industrials,U.S.,Boston,42.6528,-78.7555
77,Bank of America Corp.,2021,"$93,753.00 ",-18%,"$17,894.00 ",-34.80%,"$2,819,627.00 ","212,505",-19,no,Financials,U.S.,Charlotte,35.208,-80.8304
58,Bank of America Corp.,2020,"$113,589.00 ",2.70%,"$27,430.00 ",-2.50%,"$2,434,079.00 ","208,131",-,no,Financials,U.S.,Charlotte,35.208,-80.8304
58,Bank of America Corp.,2019,"$110,584.00 ",10%,"$28,147.00 ",54.40%,"$2,354,507.00 ","204,489",2,no,Financials,U.S.,Charlotte,35.208,-80.8304
60,Bank of America Corp.,2018,"$100,264.00 ",7%,"$18,232.00 ",1.80%,"$2,281,234.00 ","209,376",2,no,Financials,U.S.,Charlotte,35.208,-80.8304
62,Bank of America Corp.,2017,"$93,662.00 ",0.70%,"$17,906.00 ",12.70%,"$2,187,702.00 ","208,024",2,no,Financials,U.S.,Charlotte,35.208,-80.8304
68,Boeing,2019,"$101,127.00 ",8%,"$10,460.00 ",27.60%,"$117,359.00 ","153,000",-4,no,Aerospace & Defense,U.S.,Chicago,41.8373,-87.6862
64,Boeing,2018,"$93,392.00 ",-1.20%,"$8,197.00 ",67.50%,"$92,333.00 ","140,800",-4,no,Aerospace & Defense,U.S.,Chicago,41.8373,-87.6862
60,Boeing,2017,"$94,571.00 ",-1.60%,"$4,895.00 ",-5.40%,"$89,997.00 ","150,540",1,no,Aerospace & Defense,U.S.,Chicago,41.8373,-87.6862
40,Kroger,2021,"$132,498.00 ",8%,"$2,585.00 ",55.80%,"$48,662.00 ","465,000",11,no,Food & Drug Stores,U.S.,Cincinnati,39.1413,-84.5061
51,Kroger,2020,"$122,286.00 ",0.90%,"$1,659.00 ",-46.70%,"$45,256.00 ","435,000",-4,no,Food & Drug Stores,U.S.,Cincinnati,39.1413,-84.5061
47,Kroger,2019,"$121,162.00 ",-1%,"$3,110.00 ",63.10%,"$38,118.00 ","453,000",-8,no,Food & Drug Stores,U.S.,Cincinnati,39.1413,-84.5061
39,Kroger,2018,"$122,662.00 ",6.40%,"$1,907.00 ",-3.40%,"$37,197.00 ","449,000",1,no,Food & Drug Stores,U.S.,Cincinnati,39.1413,-84.5061
40,Kroger,2017,"$115,337.00 ",5%,"$1,975.00 ",-3.10%,"$36,505.00 ","443,000",2,no,Food & Drug Stores,U.S.,Cincinnati,39.1413,-84.5061
98,Procter & Gamble,2017,"$71,726.00 ",-8.90%,"$10,508.00 ",49.30%,"$127,136.00 ","105,000",-12,no,Household Products,U.S.,Cincinnati,39.1413,-84.5061
6,Apple,2021,"$274,515.00 ",6%,"$57,411.00 ",3.90%,"$323,888.00 ","147,000",6,no,Technology,U.S.,Cupertino,37.3168,-122.0465
12,Apple,2020,"$260,174.00 ",-2%,"$55,256.00 ",-7.20%,"$338,516.00 ","137,000",-1,no,Technology,U.S.,Cupertino,37.3168,-122.0465
11,Apple,2019,"$265,595.00 ",16%,"$59,531.00 ",23.10%,"$365,725.00 ","132,000",-,no,Technology,U.S.,Cupertino,37.3168,-122.0465
11,Apple,2018,"$229,234.00 ",6.30%,"$48,351.00 ",5.80%,"$375,319.00 ","123,000",-2,no,Technology,U.S.,Cupertino,37.3168,-122.0465
9,Apple,2017,"$215,639.00 ",-7.70%,"$45,687.00 ",-14.40%,"$321,686.00 ","116,000",-,no,Technology,U.S.,Cupertino,37.3168,-122.0465
26,AT&T,2021,"$171,760.00 ",-5%,"($5,176.00)",-137.20%,"$525,761.00 ","230,760",-4,no,Telecommunications,U.S.,Dallas,32.7936,-96.7662
22,AT&T,2020,"$181,193.00 ",6.10%,"$13,903.00 ",-28.20%,"$551,669.00 ","247,800",3,no,Telecommunications,U.S.,Dallas,32.7936,-96.7662
25,AT&T,2019,"$170,756.00 ",6%,"$19,370.00 ",-34.20%,"$531,864.00 ","268,220",-5,no,Telecommunications,U.S.,Dallas,32.7936,-96.7662
20,AT&T,2018,"$160,546.00 ",-2%,"$29,450.00 ",127%,"$444,097.00 ","254,000",-1,no,Telecommunications,U.S.,Dallas,32.7936,-96.7662
19,AT&T,2017,"$163,786.00 ",11.60%,"$12,976.00 ",-2.80%,"$403,821.00 ","268,540",4,no,Telecommunications,U.S.,Dallas,32.7936,-96.7662
47,Ford Motor,2021,"$127,144.00 ",-18%,"($1,279.00)",-2821.30%,"$267,261.00 ","186,000",-16,no,Motor Vehicles & Parts,U.S.,Dearborn,42.3127,-83.2129
31,Ford Motor,2020,"$155,900.00 ",-2.80%,$47.00 ,-98.70%,"$258,537.00 ","190,000",-1,no,Motor Vehicles & Parts,U.S.,Dearborn,42.3127,-83.2129
30,Ford Motor,2019,"$160,338.00 ",2%,"$3,677.00 ",-51.60%,"$256,540.00 ","199,000",-8,no,Motor Vehicles & Parts,U.S.,Dearborn,42.3127,-83.2129
22,Ford Motor,2018,"$156,776.00 ",3.30%,"$7,602.00 ",65.40%,"$257,808.00 ","202,000",-1,no,Motor Vehicles & Parts,U.S.,Dearborn,42.3127,-83.2129
21,Ford Motor,2017,"$151,800.00 ",1.50%,"$4,596.00 ",-37.70%,"$237,951.00 ","201,000",-,no,Motor Vehicles & Parts,U.S.,Dearborn,42.3127,-83.2129
36,Walgreens Boots Alliance,2021,"$139,537.00 ",2%,$456.00 ,-88.50%,"$87,174.00 ","277,000",5,no,Food & Drug Stores,U.S.,Deerfield,42.1654,-87.8516
41,Walgreens Boots Alliance,2020,"$136,866.00 ",4.10%,"$3,982.00 ",-20.70%,"$67,598.00 ","287,000",-1,no,Food & Drug Stores,U.S.,Deerfield,42.1654,-87.8516
40,Walgreens Boots Alliance,2019,"$131,537.00 ",11%,"$5,024.00 ",23.20%,"$68,124.00 ","299,000",3,no,Food & Drug Stores,U.S.,Deerfield,42.1654,-87.8516
43,Walgreens Boots Alliance,2018,"$118,214.00 ",0.70%,"$4,078.00 ",-2.30%,"$66,009.00 ","290,000",-6,no,Food & Drug Stores,U.S.,Deerfield,42.1654,-87.8516
37,Walgreens Boots Alliance,2017,"$117,351.00 ",13.40%,"$4,173.00 ",-1.10%,"$72,688.00 ","300,000",10,no,Food & Drug Stores,U.S.,Deerfield,42.1654,-87.8516
49,General Motors,2021,"$122,485.00 ",-11%,"$6,427.00 ",-4.50%,"$235,194.00 ","155,000",-9,no,Motor Vehicles & Parts,U.S.,Detroit,42.3834,-83.1024
40,General Motors,2020,"$137,237.00 ",-6.70%,"$6,732.00 ",-16%,"$228,037.00 ","164,000",-8,no,Motor Vehicles & Parts,U.S.,Detroit,42.3834,-83.1024
32,General Motors,2019,"$147,049.00 ",-7%,"$8,014.00 ",-,"$227,339.00 ","173,000",-11,no,Motor Vehicles & Parts,U.S.,Detroit,42.3834,-83.1024
21,General Motors,2018,"$157,311.00 ",-5.50%,"($3,864.00)",-141%,"$212,482.00 ","180,000",-3,no,Motor Vehicles & Parts,U.S.,Detroit,42.3834,-83.1024
18,General Motors,2017,"$166,380.00 ",9.20%,"$9,427.00 ",-2.70%,"$221,690.00 ","225,000",2,no,Motor Vehicles & Parts,U.S.,Detroit,42.3834,-83.1024
30,Cardinal Health,2021,"$152,922.00 ",5%,"($3,696.00)",-371.20%,"$40,766.00 ","48,000",7,no,Wholesalers,U.S.,Dublin,40.1112,-83.1454
37,Cardinal Health,2020,"$145,534.00 ",6.40%,"$1,363.00 ",432.40%,"$40,963.00 ","49,500",1,no,Wholesalers,U.S.,Dublin,40.1112,-83.1454
38,Cardinal Health,2019,"$136,809.00 ",5%,$256.00 ,-80.10%,"$39,951.00 ","50,200",-4,no,Wholesalers,U.S.,Dublin,40.1112,-83.1454
34,Cardinal Health,2018,"$129,976.00 ",6.90%,"$1,288.00 ",-9.70%,"$40,112.00 ","40,400",1,no,Wholesalers,U.S.,Dublin,40.1112,-83.1454
35,Cardinal Health,2017,"$121,546.00 ",18.50%,"$1,427.00 ",17.40%,"$34,122.00 ","37,300",15,no,Wholesalers,U.S.,Dublin,40.1112,-83.1454
81,Marathon Petroleum,2021,"$88,952.00 ",-29%,"($9,826.00)",-472.60%,"$85,158.00 ","57,900",-33,no,Energy,U.S.,Findlay,41.0467,-83.6379
48,Marathon Petroleum,2020,"$124,813.00 ",28.50%,"$2,637.00 ",-5.10%,"$98,556.00 ","60,910",24,no,Energy,U.S.,Findlay,41.0467,-83.6379
72,Marathon Petroleum,2019,"$97,102.00 ",44%,"$2,780.00 ",-19%,"$92,940.00 ","60,350",59,no,Energy,U.S.,Findlay,41.0467,-83.6379
61,Phillips 66,2020,"$109,559.00 ",-4.10%,"$3,076.00 ",-45%,"$58,720.00 ","14,500",-7,no,Energy,U.S.,Houston,29.7863,-95.3889
54,Phillips 66,2019,"$114,217.00 ",25%,"$5,595.00 ",9.60%,"$54,302.00 ","14,200",13,no,Energy,U.S.,Houston,29.7863,-95.3889
67,Phillips 66,2018,"$91,568.00 ",26.50%,"$5,106.00 ",228.40%,"$54,371.00 ","14,600",29,no,Energy,U.S.,Houston,29.7863,-95.3889
96,Phillips 66,2017,"$72,396.00 ",-16.90%,"$1,555.00 ",-63.20%,"$51,653.00 ","14,800",-22,no,Energy,U.S.,Houston,29.7863,-95.3889
50,Anthem,2021,"$121,867.00 ",17%,"$4,572.00 ",-4.90%,"$86,615.00 ","83,400",18,no,Health Care,U.S.,Indianapolis,39.7771,-86.1458
68,Anthem,2020,"$104,213.00 ",13.10%,"$4,807.00 ",28.20%,"$77,453.00 ","70,600",11,no,Health Care,U.S.,Indianapolis,39.7771,-86.1458
79,Anthem,2019,"$92,105.00 ",2%,"$3,750.00 ",-2.40%,"$71,571.00 ","63,900",-9,no,Health Care,U.S.,Indianapolis,39.7771,-86.1458
70,Anthem,2018,"$90,039.00 ",6.10%,"$3,842.80 ",55.60%,"$70,540.00 ","56,000",-,no,Health Care,U.S.,Indianapolis,39.7771,-86.1458
70,Anthem,2017,"$84,863.00 ",7.20%,"$2,469.80 ",-3.50%,"$65,083.00 ","53,000",15,no,Health Care,U.S.,Indianapolis,39.7771,-86.1458
12,McKesson,2021,"$238,228.00 ",3%,"($4,539.00)",-604.30%,"$65,015.00 ","67,500",4,no,Wholesalers,U.S.,Irving,32.8584,-96.9702
23,Exxon Mobil,2021,"$181,502.00 ",-32%,"($22,440.00)",-256.50%,"$332,750.00 ","72,000",-12,no,Energy,U.S.,Irving,32.8584,-96.9702
11,Exxon Mobil,2020,"$264,938.00 ",-8.70%,"$14,340.00 ",-31.20%,"$362,597.00 ","74,900",-3,no,Energy,U.S.,Irving,32.8584,-96.9702
16,McKesson,2020,"$231,051.00 ",7.80%,$900.00 ,2547.10%,"$61,247.00 ","70,000",1,no,Wholesalers,U.S.,Irving,32.8584,-96.9702
8,Exxon Mobil,2019,"$290,212.00 ",19%,"$20,840.00 ",5.70%,"$346,196.00 ","71,000",1,no,Energy,U.S.,Irving,32.8584,-96.9702
17,McKesson,2019,"$214,319.00 ",3%,$34.00 ,-49.30%,"$59,672.00 ","70,000",-4,no,Wholesalers,U.S.,Irving,32.8584,-96.9702
9,Exxon Mobil,2018,"$244,363.00 ",17.40%,"$19,710.00 ",151.40%,"$348,691.00 ","71,200",1,no,Energy,U.S.,Irving,32.8584,-96.9702
13,McKesson,2018,"$208,357.00 ",4.90%,$67.00 ,-98.70%,"$60,381.00 ","68,000",-2,no,Wholesalers,U.S.,Irving,32.8584,-96.9702
10,Exxon Mobil,2017,"$205,004.00 ",-16.70%,"$7,840.00 ",-51.50%,"$330,314.00 ","72,700",-4,no,Energy,U.S.,Irving,32.8584,-96.9702
11,McKesson,2017,"$198,533.00 ",3.10%,"$5,070.00 ",124.50%,"$60,969.00 ","64,500",1,no,Wholesalers,U.S.,Irving,32.8584,-96.9702
27,Costco Wholesale,2021,"$166,761.00 ",9%,"$4,002.00 ",9.40%,"$55,556.00 ","214,500",6,no,Retailing,U.S.,Issaquah,47.544,-122.0471
33,Costco Wholesale,2020,"$152,703.00 ",7.90%,"$3,659.00 ",16.80%,"$45,400.00 ","201,500",2,no,Retailing,U.S.,Issaquah,47.544,-122.0471
35,Costco Wholesale,2019,"$141,576.00 ",10%,"$3,134.00 ",17%,"$40,830.00 ","194,000",-,no,Retailing,U.S.,Issaquah,47.544,-122.0471
35,Costco Wholesale,2018,"$129,025.00 ",8.70%,"$2,679.00 ",14%,"$36,347.00 ","182,000",1,no,Retailing,U.S.,Issaquah,47.544,-122.0471
36,Costco Wholesale,2017,"$118,719.00 ",2.20%,"$2,350.00 ",-1.10%,"$33,163.00 ","172,000",2,no,Retailing,U.S.,Issaquah,47.544,-122.0471
86,Facebook,2021,"$85,965.00 ",22%,"$29,146.00 ",57.70%,"$159,316.00 ","58,604",58,no,Technology,U.S.,Menlo Park,37.4686,-122.1672
78,Target,2021,"$93,561.00 ",20%,"$4,368.00 ",33.10%,"$51,248.00 ","409,000",39,no,Retailing,U.S.,Minneapolis,44.9635,-93.2678
8,UnitedHealth Group,2021,"$257,141.00 ",6%,"$15,403.00 ",11.30%,"$197,289.00 ","330,000",7,no,Health Care,U.S.,Minnetonka,44.9322,-93.4598
15,UnitedHealth Group,2020,"$242,155.00 ",7%,"$13,839.00 ",15.50%,"$173,889.00 ","325,000",-1,no,Health Care,U.S.,Minnetonka,44.9322,-93.4598
14,UnitedHealth Group,2019,"$226,247.00 ",13%,"$11,986.00 ",13.50%,"$152,221.00 ","300,000",1,no,Health Care,U.S.,Minnetonka,44.9322,-93.4598
15,UnitedHealth Group,2018,"$201,159.00 ",8.80%,"$10,558.00 ",50.50%,"$139,058.00 ","260,000",-2,no,Health Care,U.S.,Minnetonka,44.9322,-93.4598
13,UnitedHealth Group,2017,"$184,840.00 ",17.70%,"$7,017.00 ",20.70%,"$122,810.00 ","230,000",4,no,Health Care,U.S.,Minnetonka,44.9322,-93.4598
80,Lowe's,2021,"$89,597.00 ",24%,"$5,835.00 ",36.30%,"$46,735.00 ","280,000",57,no,Retailing,U.S.,Mooresville,35.5849,-80.8265
21,Alphabet,2021,"$182,527.00 ",13%,"$40,269.00 ",17.30%,"$319,616.00 ","135,301",8,no,Technology,U.S.,Mountain View,37.4,-122.0796
29,Alphabet,2020,"$161,857.00 ",18.30%,"$34,343.00 ",11.70%,"$275,909.00 ","118,899",8,no,Technology,U.S.,Mountain View,37.4,-122.0796
37,Alphabet,2019,"$136,819.00 ",23%,"$30,736.00 ",142.70%,"$232,792.00 ","98,771",15,no,Technology,U.S.,Mountain View,37.4,-122.0796
52,Alphabet,2018,"$110,855.00 ",22.80%,"$12,662.00 ",-35%,"$197,295.00 ","80,110",13,no,Technology,U.S.,Mountain View,37.4,-122.0796
65,Alphabet,2017,"$90,272.00 ",20.40%,"$19,478.00 ",19.10%,"$167,497.00 ","72,053",29,no,Technology,U.S.,Mountain View,37.4,-122.0796
94,Johnson & Johnson,2021,"$82,584.00 ",1%,"$14,714.00 ",-2.70%,"$174,894.00 ","134,500",10,no,Health Care,U.S.,New Brunswick,40.487,-74.445
100,Johnson & Johnson,2018,"$76,450.00 ",6.30%,"$1,300.00 ",-92.10%,"$157,303.00 ","134,000",-3,no,Health Care,U.S.,New Brunswick,40.487,-74.445
97,Johnson & Johnson,2017,"$71,890.00 ",2.60%,"$16,540.00 ",7.30%,"$141,208.00 ","126,400",6,no,Health Care,U.S.,New Brunswick,40.487,-74.445
43,JPMorgan Chase & Co.,2021,"$129,503.00 ",-9%,"$29,131.00 ",-20%,"$3,386,071.00 ","255,351",-5,no,Financials,U.S.,New York,40.6943,-73.9249
45,Verizon,2021,"$128,292.00 ",-3%,"$17,801.00 ",-7.60%,"$316,481.00 ","132,200",-1,no,Telecommunications,U.S.,New York,40.6943,-73.9249
82,Citigroup,2021,"$88,839.00 ",-14%,"$11,047.00 ",-43.10%,"$2,260,090.00 ","210,153",-12,no,Financials,U.S.,New York,40.6943,-73.9249
38,JPMorgan Chase & Co.,2020,"$142,422.00 ",8.40%,"$36,431.00 ",12.20%,"$2,687,379.00 ","256,981",3,no,Financials,U.S.,New York,40.6943,-73.9249
44,Verizon,2020,"$131,868.00 ",0.80%,"$19,265.00 ",24.10%,"$291,727.00 ","135,000",-1,no,Telecommunications,U.S.,New York,40.6943,-73.9249
70,Citigroup,2020,"$103,449.00 ",6.50%,"$19,401.00 ",7.50%,"$1,951,158.00 ","200,000",1,no,Financials,U.S.,New York,40.6943,-73.9249
41,JPMorgan Chase & Co.,2019,"$131,412.00 ",15%,"$32,474.00 ",32.90%,"$2,622,532.00 ","256,105",6,no,Financials,U.S.,New York,40.6943,-73.9249
43,Verizon,2019,"$130,863.00 ",4%,"$15,528.00 ",-48.40%,"$264,829.00 ","144,500",-6,no,Telecommunications,U.S.,New York,40.6943,-73.9249
71,Citigroup,2019,"$97,120.00 ",10%,"$18,045.00 ",-,"$1,917,383.00 ","204,000",5,no,Financials,U.S.,New York,40.6943,-73.9249
37,Verizon,2018,"$126,034.00 ",-,"$30,101.00 ",129.30%,"$257,143.00 ","155,400",-5,no,Telecommunications,U.S.,New York,40.6943,-73.9249
47,JPMorgan Chase & Co.,2018,"$113,899.00 ",8%,"$24,441.00 ",-1.20%,"$2,533,600.00 ","252,539",1,no,Financials,U.S.,New York,40.6943,-73.9249
76,Citigroup,2018,"$87,966.00 ",6.80%,"($6,798.00)",-145.60%,"$1,842,465.00 ","209,000",-2,no,Financials,U.S.,New York,40.6943,-73.9249
92,IBM,2018,"$79,139.00 ",-1%,"$5,753.00 ",-51.50%,"$125,356.00 ","397,800",-11,no,Technology,U.S.,New York,40.6943,-73.9249
32,Verizon,2017,"$125,980.00 ",-4.30%,"$13,127.00 ",-26.60%,"$244,180.00 ","160,900",-2,no,Telecommunications,U.S.,New York,40.6943,-73.9249
